item_id,text,keywords,proposition_id,dependency,category_broad,category_detailed,tuple,question_natural_language,input_query,atomic
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,traffic light,1,0,entity,whole,entity - whole (traffic light),Is there a light?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,signpost,2,0,entity,whole,entity - whole (signpost),Is there a signpost?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,crossroads intersection,3,0,entity,whole,entity - whole (crossroads intersection),Is there an intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,waterway,4,0,entity,whole,entity - whole (waterway),Is there a waterway?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, crossroads intersection, at",5,"1,3",relation,spatial,"relation - spatial (traffic light, crossroads intersection, at)",Is the light a traffic light?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, crossroads intersection, at",6,"2,3",relation,spatial,"relation - spatial (signpost, crossroads intersection, at)",Is the intersection a crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, waterway, near",7,"1,4",relation,spatial,"relation - spatial (traffic light, waterway, near)",Is the traffic light at the crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, waterway, near",8,"2,4",relation,spatial,"relation - spatial (signpost, waterway, near)",Is the signpost at the crossroads intersection?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"crossroads intersection, waterway, near",9,"3,4",relation,spatial,"relation - spatial (crossroads intersection, waterway, near)",Is the intersection near the waterway?,Please generate a caption for the video.,yes
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, signpost, crossroads intersection, at",10,"5,6",event,ambiguity,"event - ambiguity (traffic light, signpost, crossroads intersection, at)",Are the traffic light and signpost at a crossrodas intersection?,Please generate a caption for the video.,no
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"traffic light, crossroads intersection, at, waterway, near",11,"5,7",event,ambiguity,"event - ambiguity (traffic light, crossroads intersection, at, waterway, near)",Is the traffic light at a crossrodas intersection near waterway?,Please generate a caption for the video.,no
coco_62896,A traffic light and a signpost at a crossroads intersection near a waterway.,"signpost, crossroads intersection, at, waterway, near",12,"6,8",event,ambiguity,"event - spatial (signpost, crossroads intersection, at, waterway, near)",Is the signpost at a crossrodas intersection near waterway?,Please generate a caption for the video.,no
coco_292534,A red motorcycle parked by paint chipped doors.,motorcycle,1,0,entity,whole,entity - whole (motorcycle),Is there a motorcycle?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,doors,2,0,entity,whole,entity - whole (doors),Are there any doors?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red",3,0,attribute,color,"attribute - color (motorcycle, red)",Are the doors painted?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"door, paint chipped",4,1,attribute,state,"attribute - state (door, paint chipped)",Is the paint chipped?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, door, next to",5,2,relation,spatial,"relation - spatial (red motorcycle, paint chipped door, next to)",Is the motorcycle next to doors?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, parked",6,"2,3",attribute,state,"attribute - state (motorcycle, parked)",Is the motorcycle parked?,Please generate a caption for the video.,yes
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red, door, paint chipped, next to",7,"3,4,5",event,ambiguity,"event- ambiguity (motorcycle, red, door, paint chipped, next to)",Is the red motorcycle next to paint chipped doors?,Please generate a caption for the video.,no
coco_292534,A red motorcycle parked by paint chipped doors.,"motorcycle, red, parked",8,"3,6",event,ambiguity,"event- ambiguity (motorcycle, red, parked)",Is the red motorcycle parked?,Please generate a caption for the video.,no
coco_397109,A commercial airplane with propellers flying through the air.,airplane,1,0,entity,whole,entity - whole (airplane),Is there an airplane?,Please generate a caption for the video.,yes
coco_397109,A commercial airplane with propellers flying through the air.,airplane's propellers,2,0,entity,part,entity - part (airplane's propellers),Does the airplane have propellers?,Please generate a caption for the video.,yes
coco_397109,A commercial airplane with propellers flying through the air.,"airplane, air, fly through",3,1,action, ,"action -  (airplane, air, fly through)",Is the airplane flying through the air?,Please generate a caption for the video.,yes
coco_397109,A commercial airplane with propellers flying through the air.,"airplane , with propellers,  air, fly through",4,"2,3",event,ambiguity,"event -  ambiguity (airplane, with propellers, air, fly through)",Is the airplane with propellers flying through the air?,Please generate a caption for the video.,no
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",laptop,1,0,entity,whole,entity - whole (laptop),Is there a laptop?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",keyboard,2,0,entity,whole,entity - whole (keyboard),Is there a keyboard?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",mouse,3,0,entity,whole,entity - whole (mouse),Is there a mouse?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",phone,4,0,entity,whole,entity - whole (phone),Is there a phone?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",photo,5,0,entity,whole,entity - whole (photo),Is there a photo?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.",desk,6,0,entity,whole,entity - whole (desk),Is there a desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","keyboard, external",7,0,attribute,type,"attribute - type (keyboard, external)",Is the keyboard external?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","laptop, desk, on",8,"1,6",relation,spatial,"relation - spatial (laptop, desk, on)",Is the laptop on the desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","keyboard, desk, on",9,"2,6",relation,spatial,"relation - spatial (keyboard, desk, on)",Is the keyboard on the desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","mouse, desk, on",10,"3,6",relation,spatial,"relation - spatial (mouse, desk, on)",Is the mouse on the desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","phone, desk, on",11,"4,6",relation,spatial,"relation - spatial (phone, desk, on)",Is the phone on the desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","photo, desk, on",12,"5,6",relation,spatial,"relation - spatial (photo, desk, on)",Is the photo on the desk?,Please generate a caption for the video.,yes
coco_323167,"A laptop with external keyboard, mouse, phone and photo on a desk.","laptop, external keyboard, mouse, phone, photo, desk, on",13,"8,9,10,11,12",event,ambiguity,"event - ambiguity (laptop, external keyboard, mouse, phone, photo, desk, on)","Is all laptop, external keyboard, mouse, phone, photo on the same desk?",Please generate a caption for the video.,no
coco_627537,"A pear, orange, and two bananas in a wooden bowl.",pear,1,0,entity,whole,entity - whole (pear),Is there a pear?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.",orange,2,0,entity,whole,entity - whole (orange),Is there an orange?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.",bananas,3,0,entity,whole,entity - whole (bananas),Are there bananas?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","bananas, ==2",4,0,other,count,"other - count (bananas, ==2)",Are there two bananas?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.",bowl,5,0,entity,whole,entity - whole (bowl),Is there a bowl?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","bowl, wood",6,0,attribute,material,"attribute - material (bowl, wood)",Is the bowl made of wood?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","pear, bowl, in",7,"1,5",relation,spatial,"relation - spatial (pear, bowl, in)",Is the pear in the wooden bowl?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","orange, bowl, in",8,"2,5",relation,spatial,"relation - spatial (orange, bowl, in)",Is the orange in the wooden bowl?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","bananas, bowl, in",9,"3,5",relation,spatial,"relation - spatial (bananas, bowl, in)",Are bananas in the wooden bowl?,Please generate a caption for the video.,yes
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","bananas, ==2, bowl, in",10,"4,9",event,ambiguity,"relation - spatial (bananas, bowl, in)",Are bananas in the wooden bowl?,Please generate a caption for the video.,no
coco_627537,"A pear, orange, and two bananas in a wooden bowl.","pear, orange, bananas, ==2, bowl, in",11,"7,8,10",event,ambiguity,"event - ambiguity (pear, orange, bananas, ==2, bowl, in)","Are the pear, the orange and two bananas bananas in the same wooden bowl?",Please generate a caption for the video.,no
coco_744388,Closeup picture of the front of a clean motorcycle.,motorcycle,1,0,entity,whole,entity - whole (motorcycle),Is there a motorcycle?,Please generate a caption for the video.,yes
coco_744388,Closeup picture of the front of a clean motorcycle.,closeup,2,0,global, ,global -  (closeup),Is this a closeup image?,Please generate a caption for the video.,yes
coco_744388,Closeup picture of the front of a clean motorcycle.,picture,3,0,global, ,global -  (picture),Is this a picture?,Please generate a caption for the video.,yes
coco_744388,Closeup picture of the front of a clean motorcycle.,"motorcycle, clean",4,0,attribute,state,"attribute - state (motorcycle, clean)",Is the motorcycle clean?,Please generate a caption for the video.,yes
coco_744388,Closeup picture of the front of a clean motorcycle.,front of the motorcycle,5,1,entity,part,entity - part (front of the clean motorcycle),Is the closeup picture in the front of the clean motorcycle?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ",slopes,1,0,entity,whole,entity - whole (slopes),Are there slopes?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slopes, ==2",2,1,other,count,"other - count (slopes, ==2)",Are there two slopes?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ",rams,3,0,entity,whole,entity - whole (rams),Are there rams?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ",evergreen,4,0,entity,whole,entity - whole (evergreen),Is there evergreen?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_1, white",5,1,attribute,color,"attribute - color (slope_1, white)",Is one slope white?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_2, grassy",6,1,attribute,texture,"attribute - texture (slope_2, grassy)",Is one slope grassy?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","evergreen, measly and underdeveloped",7,4,attribute,state,"attribute - state (evergreen, measly and underdeveloped)",Is the evergreen measly and underdeveloped?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_1, background, in",8,5,relation,spatial,"relation - spatial (slope_1, background, in)",Is the slope in the background?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_2, foreground, in",9,1,relation,spatial,"relation - spatial (slope_2, foreground, in)",Is the slope in the foreground?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","rams, slope_2, on",10,1,relation,spatial,"relation - spatial (several, rams, grassy slope_2, on)",Are the several rams on the slope?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","rams, graze",11,"1,3",attribute,state,"attribute - state (several rams, graze)",Are the several rams grazing on grass?,Please generate a caption for the video.,yes
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_1, white, background, in",12,"5,8",event,ambiguity,"event - ambiguity (slope_1, white, background, in)",Is the white slope in the background?,Please generate a caption for the video.,no
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","slope_2, grassy, foreground, in",13,"6,9",event,ambiguity,"event - ambiguity (slope_2, grassy, foreground, in)",Is the grassy slope in the foreground?,Please generate a caption for the video.,no
coco_625027,"A white slope covers the background, while the foreground features a grassy slope with several rams grazing and one measly and underdeveloped evergreen in the foreground.  ","rams, slope_2, grassy, on",14,"6,10",event,ambiguity,"event - ambiguity (several, rams, slope_2, grassy, on)",Are the several rams on the grassy slope?,Please generate a caption for the video.,no
coco_322041,"two laptops, a mouse cord, and a monitor ",laptops,1,0,entity,whole,entity - whole (laptops),Are there laptops?,Please generate a caption for the video.,yes
coco_322041,"two laptops, a mouse cord, and a monitor ","laptops, ==2",2,0,other,count,"other - count (laptops, ==2)",Are there two laptops?,Please generate a caption for the video.,yes
coco_322041,"two laptops, a mouse cord, and a monitor ",mouse coord,3,0,entity,whole,entity - whole (mouse coord),Is there a cord?,Please generate a caption for the video.,yes
coco_322041,"two laptops, a mouse cord, and a monitor ",monitor,4,0,entity,whole,entity - whole (monitor),Is there a monitor?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,children,1,0,entity,whole,entity - whole (children),Are there a group of children?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,grass,2,0,entity,whole,entity - whole (grass),Is there grass?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,frisbee,3,0,entity,whole,entity - whole (frisbee),Is there a frisbee?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,"children, sit",4,1,attribute,state,"attribute - state (children, sit)",Are the children sitting?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,"children, grass, in",5,"1,2",relation,spatial,"relation - spatial (a group of children, grass, sitting in)",Are a group of children sitting in the grass?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,two of the children,6,1,entity,part,entity - part (two of the children),Are there two of the children?,Please generate a caption for the video.,yes
coco_552592,A group of children sitting in the grass with two of them holding a Frisbee .,"two of the children, frisbee, hold",7,"3,6",action, ,"action -  (two of the children, frisbee, hold)",Are two of the children holding a frisbee?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,people,1,0,entity,whole,entity - whole (people),Are there people?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"people, ==3",2,1,other,count,"other - count (people, ==3)",Are there three people?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,elephant,3,0,entity,whole,entity - whole (elephant),Is there an elephant?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,river,4,0,entity,whole,entity - whole (river),Is there a river?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"people, stand",5,1,attribute,state,"attribute - state (people, stand)",Are people standing?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"people, elephant, next to",6,"1,3",relation,spatial,"relation - spatial (three people, elephant, next to)",Are people next to the elephant?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"people, river, next to",7,"1,4",relation,spatial,"relation - spatial (people, river, next to)",Are people next to the river?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"elephant, river, next to",8,"2,4",relation,spatial,"relation - spatial (elephant, river, next to)",Is the elephant next to the river?,Please generate a caption for the video.,yes
coco_488166,Three people standing next to an elephant along a river.,"people, ==3, stand",9,"2,5",event,ambiguity,"event - ambiguity (people, ==3, stand)",Are the three people standing?,Please generate a caption for the video.,no
coco_488166,Three people standing next to an elephant along a river.,"people, ==3, elephant, next to",10,"2,6",event,ambiguity,"event - ambiguity (people, ==3, elephant, next to)",Are the three people next to the elephant?,Please generate a caption for the video.,no
coco_488166,Three people standing next to an elephant along a river.,"people, ==3, river, next to",11,"2,7",event,ambiguity,"event - ambiguity (people, ==3, river, next to)",Are the three people next to the river?,Please generate a caption for the video.,no
coco_488166,Three people standing next to an elephant along a river.,"people, stand, elephant, next to",12,"5,6",event,ambiguity,"event - ambiguity (people, stand, elephant, next to)",Are people stadning next to an elephant?,Please generate a caption for the video.,no
coco_488166,Three people standing next to an elephant along a river.,"people, stand, river, next to",12,"5,7",event,ambiguity,"event - ambiguity (people, stand, river, next to)",Are people standing next to the river?,Please generate a caption for the video.,no
coco_488166,Three people standing next to an elephant along a river.,"people, elephant, next to, river, next to",13,"6,7",event,ambiguity,"event - ambiguity (people, elephant, next to, river, next to)",Are people next to the river and an elephant?,Please generate a caption for the video.,no
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,boy,1,0,entity,whole,entity - whole (boy),Is there a boy?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,ball,2,0,entity,whole,entity - whole (ball),Is there a ball?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,soccer players,3,0,entity,whole,entity - whole (soccer players),Are there other soccer players?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,boy's arms,4,0,entity,part,entity - part (boy's arms),Does the boy have arms?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"boy, little",5,1,entity,scale,"entity - scale (boy, little)",Is the boy little?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"ball, soccer",6,1,attribute,type,"attribute - type (ball, soccer)",Is the ball a soccer ball?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"soccer players, youth",7,3,attribute,state,"attribute - state (soccer players, youth)",Are the other soccer players young?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"boy, ball, grip in his arms",8,"2,4",relation,spatial,"relation - spatial (little boy, ball, grip in his arms)",Is the boy gripping the ball in his arms?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"boy, soccer players, surrounded by",9,"1,3",relation,spatial,"relation - spatial (little boy gripping the ball in his arms, soccer players, surrounded by)",Is the little boy surrounded by the other soccer players?,Please generate a caption for the video.,yes
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"boy's arm, little, ball, soccer, grip in his arms",10,"4,5,6,8",event,ambiguity,"event - ambiguity (boy's arm, little, ball, soccer, grip in his arms)",Is the little boy gripping the soccer ball in his arms?,Please generate a caption for the video.,no
coco_666114,A little boy grips a soccer ball in his arms surrounded by other youth soccer players.,"boy, little, soccer players, youth, surrounded by",11,"5,7,9",event,ambiguity,"event - ambiguity (boy, little, soccer players, youth, surrounded by)",Is the little boy surrounded by the other youth soccer players?,Please generate a caption for the video.,no
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,skateboarder,1,0,entity,whole,entity - whole (skateboarder),Is there a skateboarder?,Please generate a caption for the video.,yes
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,ramp,2,0,entity,whole,entity - whole (ramp),Is there a ramp?,Please generate a caption for the video.,yes
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,"skateboarder, male",3,1,attribute,type,"attribute - type (skateboarder, male)",Is the skateboarder male?,Please generate a caption for the video.,yes
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,"skateboarder, pull off a trick",4,1,action, ,"action -  (male skateboarder, pull off a trick)",Is the skateboarder pulling off a trick?,Please generate a caption for the video.,yes
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,"skateboarder, ramp, on",5,"1,3",relation,spatial,"relation - spatial (male skateboarder, ramp, on)",Is the skateboarder on the ramp?,Please generate a caption for the video.,yes
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,"skateboarder, male, pull off a trick",6,"3,4",event,ambiguity,"event - ambigity (skateboarder, male, pull off a trick)",Is the male skateboarder on the ramp?,Please generate a caption for the video.,no
coco_361740,A male skateboarder is trying to pull off a trick on the ramp. ,"skateboarder, male, ramp, on",7,"3,5",event,ambiguity,"event - ambiguity (male skateboarder, ramp, on)",Is the male skateboarder on the ramp?,Please generate a caption for the video.,no
